state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,
2023094,290,-8178,-1740,4,39,-47,-36156,0,17,-5,0,45655,132,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023148,
2023095,290,-8178,-1740,4,39,-47,-36154,0,14,-3,0,45655,132,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023150,
2023096,278,-8146,-1728,2,39,-46,-36156,0,-2,-1,0,45655,132,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023152,
2023097,278,-8146,-1728,2,39,-46,-36153,0,10,0,0,45655,132,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023154,
2023098,278,-8146,-1728,2,39,-46,-36157,0,-2,-4,0,45653,125,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023156,
2023099,278,-8146,-1728,2,39,-46,-36155,0,0,-2,0,45653,125,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023158,
2023100,256,-8146,-1720,2,34,-50,-36159,0,-6,-8,0,45653,125,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023160,
2023101,256,-8146,-1720,2,34,-50,-36156,0,5,-3,0,45653,125,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023162,
2023102,256,-8146,-1720,2,34,-50,-36156,0,3,-1,0,45653,125,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023164,
2023103,256,-8146,-1720,2,34,-50,-36157,0,-8,-1,0,45653,125,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023165,
2023104,278,-8160,-1734,2,40,-48,-36157,0,-16,-4,0,45653,125,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023167,
2023105,278,-8160,-1734,2,40,-48,-36158,0,-2,1,0,45653,125,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023169,
2023106,278,-8160,-1734,2,40,-48,-36157,0,-3,-2,0,45653,125,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023171,
2023107,278,-8160,-1734,2,40,-48,-36157,0,-6,1,0,45653,125,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023173,
2023108,288,-8152,-1730,-2,37,-44,-36156,0,-11,2,0,45654,133,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023175,
2023109,288,-8152,-1730,-2,37,-44,-36158,0,-13,1,0,45654,133,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023177,
2023110,288,-8152,-1730,-2,37,-44,-36158,0,3,-1,0,45654,133,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023179,
2023111,288,-8152,-1730,-2,37,-44,-36159,0,-13,0,0,45654,133,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023181,
2023112,324,-8156,-1716,1,34,-44,-36159,0,-4,-4,0,45654,133,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023183,
