state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,
2021355,-412,-8178,-1266,20,-9,-146,31315,0,0,-2,0,45903,168,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3981,0,2021355,
2021356,-412,-8208,-1262,25,-11,-144,31317,0,7,0,0,45903,168,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3981,0,2021355,
2021357,-412,-8208,-1262,25,-11,-144,31313,0,-6,2,0,45903,168,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3981,0,2021356,
2021358,-412,-8208,-1262,25,-11,-144,31314,0,-5,0,0,45903,168,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3983,0,2021357,
2021359,-412,-8208,-1262,25,-11,-144,31314,0,5,1,0,45903,168,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3983,0,2021358,
2021360,-380,-8200,-1278,20,-5,-147,31314,0,-4,1,0,45901,165,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3983,0,2021359,
2021361,-380,-8200,-1278,20,-5,-147,31313,0,5,1,0,45901,165,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3981,0,2021360,
2021362,-380,-8200,-1278,20,-5,-147,31316,0,6,0,0,45901,165,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3983,0,2021361,
2021363,-380,-8200,-1278,20,-5,-147,31313,0,-1,0,0,45901,165,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3983,0,2021362,
2021364,-354,-8190,-1258,19,-8,-152,31312,0,-5,0,0,45901,165,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3983,0,2021363,
2021365,-354,-8190,-1258,19,-8,-152,31313,0,3,-1,0,45901,165,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3983,0,2021364,
2021366,-354,-8190,-1258,19,-8,-152,31313,0,-3,0,0,45901,165,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3984,0,2021365,
2021367,-354,-8190,-1258,19,-8,-152,31314,0,0,-1,0,45901,165,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3984,0,2021366,
2021368,-356,-8202,-1230,20,-3,-151,31315,0,10,-4,0,45901,165,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3984,0,2021367,
2021369,-356,-8202,-1230,20,-3,-151,31313,0,-2,-5,0,45901,165,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3984,0,2021368,
2021370,-356,-8202,-1230,20,-3,-151,31314,0,1,-2,0,45895,163,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3984,0,2021369,
2021371,-356,-8202,-1230,20,-3,-151,31316,0,14,-2,0,45895,163,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3984,0,2021370,
2021372,-378,-8218,-1242,15,-4,-151,31313,0,2,-3,0,45895,163,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3986,0,2021371,
2021373,-378,-8218,-1242,15,-4,-151,31313,0,-3,-4,0,45895,163,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3986,0,2021372,
2021374,-378,-8218,-1242,15,-4,-151,31313,0,-2,-6,0,45895,163,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3986,0,2021373,
2021375,-378,-8218,-1242,15,-4,-151,31312,0,0,-4,0,45895,163,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3986,0,2021374,
2021376,-344,-8204,-1248,18,-2,-149,31317,0,-2,-4,0,45895,163,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3986,0,2021375,
2021377,-344,-8204,-1248,18,-2,-149,31310,0,-14,-4,0,45895,163,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3986,0,2021376,
2021378,-344,-8204,-1248,18,-2,-149,31315,0,3,0,0,45895,163,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3988,0,2021377,
2021379,-344,-8204,-1248,18,-2,-149,31314,0,1,-2,0,45895,163,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3988,0,2021378,
2021380,-362,-8204,-1242,13,-6,-152,31315,0,5,-3,0,45904,164,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3987,0,2021379,
2021381,-362,-8204,-1242,13,-6,-152,31315,1,3,-3,0,45904,164,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3987,0,2021380,
2021382,-362,-8204,-1242,13,-6,-152,31312,0,-10,-2,0,45904,164,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3987,0,2021381,
2021383,-362,-8204,-1242,13,-6,-152,31314,0,-1,-3,0,45904,164,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3988,0,2021385,
2021384,-326,-8178,-1258,13,-6,-153,31312,0,7,-3,0,45904,164,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3989,0,2021386,
2021385,-326,-8178,-1258,13,-6,-153,31314,0,-5,-3,0,45904,164,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3989,0,2021387,
2021386,-326,-8178,-1258,13,-6,-153,31312,0,-1,-6,0,45904,164,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3989,0,2021388,
2021387,-326,-8178,-1258,13,-6,-153,31314,0,2,-4,0,45904,164,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3989,0,2021389,
2021388,-344,-8190,-1252,17,-8,-157,31309,0,-10,-6,0,45904,164,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3988,0,2021395,
2021389,-344,-8190,-1252,17,-8,-157,31314,0,3,-4,0,45904,164,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3988,0,2021396,
2021390,-344,-8190,-1252,17,-8,-157,31316,0,3,-2,0,45902,170,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3988,0,2021397,
2021391,-344,-8190,-1252,17,-8,-157,31317,1,15,-1,0,45902,170,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3988,0,2021398,
2021392,-324,-8222,-1278,17,1,-157,31310,0,-17,-3,0,45902,170,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3989,0,2021399,
2021393,-324,-8222,-1278,17,1,-157,31318,0,10,-3,0,45902,170,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3989,0,2021400,
2021394,-324,-8222,-1278,17,1,-157,31315,0,-1,-6,0,45902,170,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3990,0,2021401,
2021395,-324,-8222,-1278,17,1,-157,31317,0,11,-6,0,45902,170,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3990,0,2021402,
2021396,-336,-8204,-1270,12,-6,-154,31314,0,8,-3,0,45902,170,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3992,0,2021403,
2021397,-336,-8204,-1270,12,-6,-154,31314,0,-7,-4,0,45902,170,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3992,0,2021404,
2021398,-336,-8204,-1270,12,-6,-154,31314,0,5,-2,0,45902,170,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3990,0,2021414,
2021399,-336,-8204,-1270,12,-6,-154,31316,0,12,-3,0,45902,170,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3990,0,2021416,
2021400,-324,-8218,-1266,14,-7,-153,31312,0,-6,-1,0,45902,176,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3992,0,2021416,
2021401,-324,-8218,-1266,14,-7,-153,31314,0,-4,0,0,45902,176,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3992,0,2021417,
